Année,T2M_MAX,T2M_MIN,RH2M,RR,WS10M,WD10M,TS,PS,Région
2010-01-01,34.14,14.94,25.14,0.0,4.46,72.8,23.96,96.74,SAMANKO
2010-01-02,34.13,15.35,22.89,0.0,4.18,63.6,24.43,96.78,SAMANKO
2010-01-03,33.88,14.62,23.26,0.0,4.3,60.9,24.09,96.82,SAMANKO
2010-01-04,33.77,14.05,21.14,0.0,4.02,65.6,23.92,96.76,SAMANKO
2010-01-05,34.39,14.47,20.59,0.0,3.12,60.3,24.69,96.69,SAMANKO
2010-01-06,34.85,16.49,20.16,0.0,2.02,65.3,25.27,96.65,SAMANKO
2010-01-07,35.0,14.56,20.23,0.0,2.37,51.1,25.5,96.68,SAMANKO
2010-01-08,35.12,16.39,20.63,0.0,3.91,36.1,25.6,96.7,SAMANKO
2010-01-09,33.87,15.4,22.6,0.0,4.32,46.1,24.84,96.68,SAMANKO
2010-01-10,34.03,16.78,26.22,0.0,4.47,51.8,25.21,96.7,SAMANKO
2010-01-11,33.04,16.52,24.81,0.0,5.04,48.8,24.23,96.87,SAMANKO
2010-01-12,34.05,14.46,23.27,0.0,4.83,41.5,24.47,96.86,SAMANKO
2010-01-13,34.35,15.32,21.95,0.0,4.77,44.3,24.4,96.86,SAMANKO
2010-01-14,33.97,15.28,19.91,0.0,4.12,54.7,24.02,96.86,SAMANKO
2010-01-15,35.78,15.05,18.54,0.0,3.9,50.9,25.2,96.87,SAMANKO
2010-01-16,35.93,15.19,17.73,0.0,4.16,62.2,25.34,96.94,SAMANKO
2010-01-17,34.67,14.81,19.41,0.0,5.16,59.6,24.31,96.99,SAMANKO
2010-01-18,34.37,13.73,18.74,0.0,4.99,65.5,24.01,96.94,SAMANKO
2010-01-19,33.8,14.21,22.29,0.0,4.97,66.8,23.86,96.94,SAMANKO
2010-01-20,33.43,14.06,19.99,0.0,4.82,65.5,23.48,96.89,SAMANKO
2010-01-21,34.32,13.97,18.32,0.0,4.53,68.0,24.19,96.88,SAMANKO
2010-01-22,34.95,14.99,17.75,0.0,4.14,67.7,25.48,96.78,SAMANKO
2010-01-23,35.32,15.72,18.07,0.0,4.01,63.1,26.36,96.68,SAMANKO
2010-01-24,35.38,16.73,19.1,0.0,4.34,45.8,26.58,96.59,SAMANKO
